age,numberofdependents,zipcode,latitude,longitude,population,numberofreferrals,avgmonthlylongdistancecharges,avgmonthlygbdownload,monthlycharge,satisfactionscore,churnscore,cltv
75.0,0.0,95551.0,40.665952,-124.240051,1447.0,0.0,29.68,18.0,69.25,2.0,75.0,4371.0
74.0,0.0,95562.0,40.485849,-124.163234,3284.0,0.0,0.0,5.0,25.2,1.0,67.0,5688.0
73.0,0.0,95618.0,38.544002,-121.685559,648.0,0.0,19.03,24.0,95.05,1.0,90.0,2230.0
69.0,0.0,95630.0,38.672638,-121.147403,51855.0,0.0,20.06,24.0,79.2,3.0,76.0,4363.0
75.0,0.0,95653.0,38.674276,-121.961866,844.0,1.0,2.88,4.0,94.25,1.0,88.0,3369.0
65.0,0.0,95668.0,38.833554,-121.498102,901.0,0.0,12.68,10.0,99.8,1.0,89.0,2268.0
77.0,0.0,95681.0,38.984756,-121.345074,1219.0,0.0,19.27,18.0,93.85,3.0,72.0,4193.0
67.0,0.0,95692.0,39.043387,-121.409837,3600.0,0.0,30.8,18.0,84.4,2.0,83.0,5745.0
78.0,0.0,95742.0,38.591134,-121.161585,299.0,0.0,42.33,9.0,75.55,1.0,90.0,4028.0
65.0,0.0,95923.0,40.171312,-121.120605,86.0,0.0,40.18,8.0,96.7,1.0,93.0,4458.0
74.0,0.0,95935.0,39.381174,-121.21191,614.0,0.0,39.97,9.0,88.2,1.0,69.0,5683.0
70.0,0.0,95942.0,40.077028,-121.494168,1351.0,0.0,46.38,19.0,75.65,3.0,96.0,2099.0
69.0,0.0,95949.0,39.099204,-121.137962,17922.0,0.0,11.34,20.0,74.7,1.0,88.0,3348.0
76.0,0.0,95959.0,39.333737,-120.858667,17269.0,0.0,0.0,26.0,25.8,1.0,90.0,3884.0
71.0,0.0,92027.0,33.141265,-116.967221,48690.0,0.0,41.37,14.0,95.35,1.0,75.0,5353.0
76.0,0.0,92028.0,33.362575,-117.299644,42239.0,0.0,30.14,6.0,45.0,3.0,77.0,4145.0
77.0,0.0,96052.0,40.704293,-122.803899,1845.0,1.0,6.97,19.0,80.45,2.0,69.0,5374.0
74.0,0.0,96073.0,40.582399,-122.195512,4931.0,0.0,6.51,11.0,74.7,2.0,81.0,2803.0
77.0,0.0,96084.0,40.923558,-122.059933,459.0,0.0,49.6,20.0,88.8,1.0,91.0,3106.0
76.0,0.0,92130.0,32.957195,-117.202542,28201.0,1.0,1.47,5.0,89.05,1.0,82.0,3861.0
77.0,0.0,92130.0,32.957195,-117.202542,28201.0,0.0,31.17,23.0,94.75,2.0,95.0,2740.0
80.0,0.0,92130.0,32.957195,-117.202542,28201.0,1.0,36.82,6.0,85.35,1.0,90.0,3209.0
68.0,0.0,92130.0,32.957195,-117.202542,28201.0,0.0,40.93,2.0,45.05,1.0,93.0,3797.0
79.0,0.0,92130.0,32.957195,-117.202542,28201.0,0.0,9.53,17.0,84.65,2.0,90.0,4871.0
65.0,0.0,92130.0,32.957195,-117.202542,28201.0,0.0,42.3,16.0,79.1,3.0,92.0,5001.0
68.0,0.0,92121.0,32.898613,-117.202937,4258.0,0.0,39.78,12.0,50.15,2.0,91.0,3438.0
72.0,0.0,90254.0,33.86532,-118.396336,18693.0,0.0,34.51,15.0,69.6,1.0,96.0,3438.0
66.0,0.0,90620.0,33.845706,-118.012204,44442.0,0.0,27.95,23.0,113.2,1.0,89.0,3380.0
68.0,0.0,90621.0,33.874224,-117.993368,33528.0,0.0,26.11,4.0,90.5,1.0,76.0,5394.0
69.0,0.0,90813.0,33.781086,-118.199049,63136.0,1.0,5.99,23.0,85.0,1.0,94.0,4584.0
76.0,0.0,91030.0,34.110444,-118.156957,23984.0,1.0,49.6,10.0,85.3,1.0,75.0,2712.0
70.0,0.0,91202.0,34.167926,-118.267539,21990.0,1.0,0.0,3.0,44.85,2.0,82.0,5172.0
71.0,0.0,91204.0,34.136306,-118.26036,17015.0,0.0,15.28,14.0,45.1,2.0,79.0,4499.0
75.0,0.0,91335.0,34.200175,-118.540958,68018.0,0.0,0.0,26.0,43.3,3.0,91.0,4972.0
69.0,0.0,93202.0,36.315979,-119.710852,2872.0,0.0,28.67,4.0,44.0,4.0,46.0,4320.0
67.0,0.0,91342.0,34.321621,-118.399841,81986.0,0.0,26.1,27.0,57.15,1.0,75.0,3110.0
65.0,0.0,91502.0,34.177267,-118.31003,11517.0,1.0,15.98,22.0,100.5,1.0,81.0,4745.0
80.0,0.0,91606.0,34.187599,-118.387125,45358.0,0.0,15.24,14.0,45.1,1.0,70.0,2740.0
71.0,0.0,91710.0,33.990646,-117.663025,75319.0,1.0,4.65,29.0,50.4,3.0,83.0,4795.0
70.0,0.0,91711.0,34.127621,-117.717863,34716.0,0.0,12.27,20.0,78.95,3.0,65.0,4054.0
73.0,0.0,92117.0,32.825086,-117.199424,51213.0,0.0,30.17,6.0,93.55,1.0,81.0,5536.0
78.0,0.0,92117.0,32.825086,-117.199424,51213.0,1.0,49.38,19.0,108.85,1.0,91.0,4739.0
76.0,0.0,92117.0,32.825086,-117.199424,51213.0,0.0,17.51,7.0,84.75,2.0,91.0,5136.0
73.0,0.0,92117.0,32.825086,-117.199424,51213.0,0.0,22.5,27.0,69.95,2.0,94.0,3208.0
68.0,0.0,92122.0,32.85723,-117.209774,34902.0,1.0,47.28,11.0,81.0,1.0,91.0,4287.0
79.0,0.0,92239.0,33.889605,-115.257009,964.0,0.0,42.27,7.0,96.8,1.0,87.0,4317.0
67.0,0.0,92027.0,33.141265,-116.967221,48690.0,0.0,31.83,10.0,108.15,1.0,86.0,2833.0
69.0,0.0,92028.0,33.362575,-117.299644,42239.0,1.0,33.74,6.0,93.2,3.0,90.0,5247.0
72.0,0.0,92397.0,34.358321,-117.618263,4253.0,0.0,18.2,13.0,70.55,3.0,82.0,2146.0
75.0,0.0,92555.0,33.907361,-117.109972,12743.0,1.0,25.78,28.0,98.5,3.0,72.0,5137.0
67.0,0.0,92563.0,33.581045,-117.14719,18311.0,1.0,31.7,6.0,95.25,1.0,90.0,2982.0
72.0,0.0,92567.0,33.82769,-117.102244,7344.0,1.0,8.92,17.0,74.4,3.0,96.0,4969.0
68.0,0.0,92606.0,33.703976,-117.824172,17621.0,0.0,21.57,28.0,88.55,1.0,80.0,3685.0
68.0,0.0,92625.0,33.600987,-117.862734,13422.0,0.0,43.61,2.0,91.3,3.0,71.0,2371.0
75.0,0.0,92655.0,33.744439,-117.98588,8660.0,1.0,16.05,22.0,70.1,2.0,83.0,3669.0
74.0,0.0,92661.0,33.601309,-117.902304,4242.0,1.0,49.91,21.0,95.25,2.0,86.0,6259.0
78.0,0.0,92663.0,33.62251,-117.927024,22133.0,4.0,17.35,23.0,100.8,1.0,65.0,3128.0
66.0,0.0,92706.0,33.765893,-117.881533,37879.0,2.0,1.05,8.0,76.45,1.0,92.0,3266.0
73.0,0.0,93022.0,34.404544,-119.302118,6503.0,0.0,18.38,20.0,86.85,2.0,70.0,3561.0
79.0,0.0,93101.0,34.419203,-119.710008,31727.0,1.0,28.86,25.0,99.5,1.0,96.0,4479.0
69.0,0.0,93110.0,34.437945,-119.77191,15757.0,1.0,48.88,4.0,108.4,3.0,73.0,4708.0
65.0,0.0,92592.0,33.507255,-117.029473,46171.0,2.0,44.13,3.0,83.05,3.0,70.0,2596.0
68.0,0.0,93270.0,35.939068,-119.043666,5868.0,0.0,34.58,4.0,104.75,3.0,93.0,5605.0
79.0,0.0,92592.0,33.507255,-117.029473,46171.0,0.0,21.15,9.0,94.25,2.0,73.0,4819.0
80.0,0.0,93426.0,35.842889,-121.004862,1363.0,0.0,47.97,8.0,70.15,2.0,71.0,2825.0
77.0,0.0,93444.0,35.050345,-120.489599,15405.0,3.0,7.92,3.0,106.35,2.0,65.0,4113.0
65.0,0.0,93541.0,37.890145,-119.184087,504.0,1.0,49.5,20.0,94.55,1.0,95.0,5676.0
66.0,0.0,93591.0,34.598221,-117.79593,6787.0,0.0,0.0,6.0,24.45,3.0,77.0,5573.0
75.0,0.0,93612.0,36.814539,-119.711868,33856.0,0.0,39.51,13.0,84.8,3.0,70.0,2015.0
74.0,0.0,93615.0,36.497895,-119.285484,5519.0,0.0,39.36,4.0,99.95,3.0,96.0,5362.0
80.0,0.0,93621.0,36.789213,-119.140338,506.0,0.0,29.96,7.0,104.85,1.0,86.0,2292.0
74.0,0.0,93625.0,36.625792,-119.672483,5635.0,0.0,23.53,9.0,74.2,1.0,80.0,4553.0
70.0,0.0,93665.0,36.959731,-120.653519,343.0,0.0,10.78,15.0,93.85,2.0,85.0,5390.0
76.0,0.0,93668.0,36.635661,-120.288644,1130.0,3.0,49.11,17.0,100.7,1.0,72.0,5712.0
72.0,0.0,93928.0,35.930782,-121.189757,254.0,0.0,36.36,6.0,89.7,3.0,82.0,4078.0
66.0,0.0,93932.0,35.989792,-121.055933,538.0,0.0,32.11,14.0,96.4,3.0,80.0,2688.0
75.0,0.0,93933.0,36.689582,-121.758398,21759.0,0.0,41.2,15.0,69.5,2.0,77.0,3273.0
65.0,0.0,93954.0,36.125529,-120.864443,521.0,1.0,24.54,5.0,85.25,2.0,82.0,3041.0
79.0,0.0,94015.0,37.680844,-122.48131,63337.0,0.0,10.67,17.0,62.7,1.0,92.0,2654.0
73.0,0.0,94109.0,37.794487,-122.42227,56330.0,0.0,46.34,22.0,105.95,2.0,91.0,4283.0
79.0,0.0,94123.0,37.800254,-122.436975,22920.0,0.0,41.93,23.0,95.65,1.0,65.0,4892.0
78.0,0.0,94010.0,37.57028,-122.365778,40346.0,0.0,43.4,24.0,73.3,4.0,38.0,5159.0
70.0,0.0,94130.0,37.820894,-122.369725,1458.0,1.0,47.95,21.0,98.9,2.0,91.0,4050.0
71.0,0.0,94402.0,37.556634,-122.317723,23393.0,0.0,30.25,28.0,76.05,1.0,67.0,2930.0
69.0,0.0,94520.0,38.013825,-122.039144,36186.0,0.0,33.84,5.0,69.75,1.0,69.0,5057.0
70.0,0.0,94542.0,37.656695,-122.048361,11147.0,0.0,17.24,25.0,110.45,1.0,80.0,3401.0
71.0,0.0,94559.0,38.232389,-122.324944,26894.0,1.0,42.92,2.0,99.25,2.0,90.0,2487.0
67.0,0.0,94803.0,37.963995,-122.288296,25399.0,0.0,16.78,15.0,79.85,3.0,65.0,3715.0
67.0,0.0,94901.0,37.972662,-122.491452,40239.0,2.0,26.99,2.0,80.45,1.0,91.0,3443.0
69.0,0.0,94945.0,38.135897,-122.563683,16429.0,0.0,7.22,28.0,100.8,1.0,65.0,3269.0
75.0,0.0,94970.0,37.921137,-122.657562,781.0,0.0,7.51,18.0,79.25,1.0,87.0,3856.0
67.0,0.0,95032.0,37.233034,-121.947427,24443.0,0.0,45.72,6.0,89.5,2.0,66.0,2718.0
66.0,0.0,95039.0,36.863303,-121.781632,899.0,0.0,38.78,23.0,86.05,1.0,96.0,4843.0
67.0,0.0,95110.0,37.34667,-121.910019,18197.0,0.0,0.0,4.0,34.7,1.0,92.0,3244.0
71.0,0.0,95126.0,37.327069,-121.916819,27023.0,1.0,21.67,6.0,60.05,1.0,77.0,5271.0
74.0,0.0,95127.0,37.375156,-121.795867,60620.0,1.0,26.12,8.0,74.3,1.0,81.0,2076.0
70.0,0.0,95207.0,38.002125,-121.324979,49965.0,0.0,17.56,27.0,74.55,1.0,69.0,3145.0
76.0,0.0,95222.0,38.071327,-120.632221,4264.0,1.0,43.51,22.0,104.9,1.0,79.0,3966.0
67.0,0.0,95250.0,38.244806,-120.417301,88.0,1.0,17.36,29.0,74.4,3.0,91.0,5429.0
80.0,0.0,95303.0,37.4695,-120.672724,809.0,0.0,14.89,20.0,69.7,1.0,88.0,3068.0
67.0,0.0,95306.0,37.394411,-120.127262,986.0,1.0,30.63,27.0,98.1,3.0,90.0,2709.0
68.0,0.0,95323.0,37.605926,-120.69955,1055.0,1.0,18.91,20.0,99.6,1.0,77.0,4708.0
69.0,0.0,95372.0,37.990574,-120.261821,1519.0,1.0,17.45,20.0,102.95,1.0,91.0,5005.0
80.0,0.0,92027.0,33.141265,-116.967221,48690.0,0.0,28.64,5.0,71.0,3.0,72.0,5345.0
73.0,0.0,92027.0,33.141265,-116.967221,48690.0,1.0,26.95,26.0,70.55,3.0,82.0,4457.0
73.0,0.0,95417.0,39.710591,-123.682799,176.0,1.0,37.3,8.0,69.25,1.0,87.0,4568.0
65.0,0.0,95466.0,39.094102,-123.500853,1113.0,0.0,28.63,7.0,83.8,1.0,78.0,5565.0
73.0,0.0,95468.0,38.911299,-123.609588,1352.0,0.0,0.0,25.0,54.45,2.0,65.0,6280.0
78.0,0.0,95488.0,39.724433,-123.767578,309.0,0.0,22.56,15.0,99.8,1.0,76.0,4726.0
68.0,0.0,95543.0,41.867908,-123.794144,532.0,0.0,2.27,17.0,70.25,2.0,89.0,3684.0
65.0,0.0,95587.0,39.955587,-123.681175,200.0,1.0,16.34,4.0,89.95,1.0,82.0,6363.0
67.0,0.0,95608.0,38.626128,-121.328011,58830.0,0.0,16.32,11.0,74.95,3.0,70.0,2075.0
70.0,0.0,95610.0,38.69508,-121.271616,43718.0,0.0,33.22,9.0,74.4,1.0,90.0,2091.0
69.0,0.0,95638.0,38.313447,-121.123886,1745.0,1.0,4.6,24.0,71.05,3.0,94.0,5746.0
73.0,0.0,95658.0,38.883224,-121.15918,6096.0,0.0,0.0,13.0,30.4,1.0,90.0,4002.0
74.0,0.0,95678.0,38.759751,-121.288545,30614.0,0.0,17.62,29.0,106.4,1.0,79.0,5507.0
78.0,0.0,95703.0,38.983388,-120.988814,1526.0,0.0,5.49,25.0,85.55,3.0,86.0,5512.0
77.0,0.0,95814.0,38.584505,-121.491956,16599.0,1.0,6.23,4.0,79.65,3.0,73.0,2174.0
70.0,0.0,95819.0,38.567594,-121.437507,15975.0,0.0,22.92,0.0,19.45,1.0,78.0,3848.0
78.0,0.0,95835.0,38.685069,-121.543709,854.0,0.0,48.95,9.0,85.95,3.0,74.0,2431.0
75.0,0.0,95838.0,38.646096,-121.442433,34894.0,0.0,36.83,16.0,59.4,1.0,87.0,5556.0
75.0,0.0,95920.0,39.449794,-121.936372,303.0,0.0,47.39,2.0,99.55,1.0,91.0,3474.0
76.0,0.0,95930.0,39.562239,-121.14836,282.0,0.0,12.96,20.0,95.1,3.0,90.0,4486.0
70.0,0.0,95971.0,39.971228,-121.041166,6189.0,1.0,9.5,16.0,81.5,2.0,79.0,3443.0
67.0,0.0,95982.0,39.172777,-121.805845,3193.0,1.0,0.0,20.0,36.45,1.0,89.0,3766.0
69.0,0.0,95984.0,40.022184,-121.062384,73.0,0.0,0.0,21.0,25.05,1.0,65.0,4842.0
70.0,0.0,96006.0,41.171578,-120.913161,615.0,1.0,0.0,21.0,55.55,1.0,85.0,2573.0
74.0,0.0,96074.0,39.884395,-122.587513,263.0,2.0,46.5,4.0,86.65,1.0,84.0,4990.0
77.0,0.0,96080.0,40.186772,-122.388361,26438.0,0.0,41.85,2.0,106.75,1.0,92.0,5849.0
66.0,0.0,96109.0,40.012675,-120.101857,1177.0,1.0,48.5,4.0,101.35,1.0,68.0,3967.0
70.0,0.0,96125.0,39.600599,-120.636358,348.0,0.0,35.1,29.0,95.45,2.0,91.0,2080.0
68.0,0.0,96148.0,39.24124,-120.054765,678.0,0.0,45.8,10.0,69.6,2.0,74.0,2151.0
65.0,0.0,90007.0,34.027337,-118.28515,45025.0,0.0,18.37,13.0,78.45,1.0,67.0,2139.0
76.0,0.0,92121.0,32.898613,-117.202937,4258.0,0.0,12.91,21.0,84.45,3.0,95.0,3543.0
73.0,0.0,90024.0,34.066303,-118.435479,44150.0,0.0,5.75,30.0,70.15,3.0,82.0,2645.0
70.0,0.0,90028.0,34.099869,-118.326843,30568.0,0.0,19.49,11.0,97.8,2.0,81.0,6204.0
68.0,0.0,90039.0,34.110845,-118.259595,29310.0,0.0,41.83,25.0,83.15,3.0,96.0,2516.0
77.0,0.0,90230.0,33.993991,-118.39704,31963.0,0.0,23.46,25.0,75.45,3.0,65.0,3350.0
73.0,0.0,90232.0,34.019323,-118.391902,15195.0,0.0,25.74,6.0,54.85,1.0,96.0,3016.0
71.0,0.0,90248.0,33.876482,-118.284077,9960.0,1.0,4.89,11.0,95.1,1.0,70.0,5795.0
69.0,0.0,90501.0,33.833699,-118.314387,40705.0,1.0,7.94,6.0,101.9,1.0,94.0,5884.0
80.0,0.0,90640.0,34.015217,-118.109962,62425.0,1.0,22.14,30.0,93.8,1.0,83.0,4788.0
66.0,0.0,90713.0,33.847755,-118.112532,27563.0,0.0,6.03,2.0,104.15,3.0,74.0,5925.0
79.0,0.0,91007.0,34.128284,-118.047732,30933.0,0.0,4.59,11.0,91.4,1.0,78.0,2834.0
80.0,0.0,91304.0,34.224377,-118.632656,49242.0,0.0,28.49,18.0,75.35,3.0,92.0,4403.0
78.0,0.0,91381.0,34.364153,-118.615583,9937.0,0.0,4.1,5.0,84.8,2.0,67.0,5118.0
67.0,0.0,91384.0,34.506627,-118.699048,22177.0,1.0,31.56,4.0,95.05,3.0,92.0,5863.0
73.0,0.0,91401.0,34.178483,-118.431791,40376.0,0.0,18.69,28.0,50.35,1.0,81.0,4618.0
75.0,0.0,91605.0,34.207295,-118.400022,57146.0,0.0,36.36,12.0,89.8,1.0,88.0,2960.0
67.0,0.0,91790.0,34.066964,-117.937007,44099.0,0.0,10.66,15.0,99.45,1.0,93.0,2313.0
75.0,0.0,91906.0,32.673483,-116.472863,3133.0,0.0,9.55,28.0,70.2,1.0,67.0,2767.0
80.0,0.0,91915.0,32.605012,-116.97595,9278.0,2.0,43.58,22.0,84.2,2.0,74.0,6245.0
72.0,0.0,91978.0,32.730264,-116.950963,7863.0,0.0,1.26,18.0,105.75,1.0,91.0,3157.0
70.0,0.0,92003.0,33.290907,-117.202895,3849.0,1.0,0.0,12.0,48.35,2.0,92.0,2167.0
73.0,0.0,92029.0,33.079834,-117.134275,17944.0,1.0,24.24,9.0,49.55,1.0,76.0,4989.0
