customerid,gender,age,under30,seniorcitizen,married,dependents,numberofdependents,country,state,city,zipcode,latitude,longitude,population,quarter,referredafriend,numberofreferrals,offer,phoneservice,avgmonthlylongdistancecharges,multiplelines,internetservice,internettype,avgmonthlygbdownload,onlinesecurity,onlinebackup,deviceprotectionplan,premiumtechsupport,streamingtv,streamingmovies,streamingmusic,unlimiteddata,contract,paperlessbilling,paymentmethod,monthlycharge,satisfactionscore,customerstatus,churnlabel,churnscore,cltv,churncategory,churnreason,ingestiondate,customer_joined_date,customer_tenure_months,customers_all_type_services,total_spent_bycustomer_yearly
0094-OIFMO,Female,0.9672131147540983,No,Yes,No,Yes,0.11111111111111112,United States,California,North Hollywood,0.26085542364612135,0.17557032792599972,0.5838024365900636,0.5427265991602865,Q3,No,0.0,Offer D,Yes,0.23184636927385477,No,Yes,Fiber Optic,0.34117647058823525,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,0.763681592039801,0.0,Churned,Yes,0.8791208791208791,0.8843673560151212,Dissatisfaction,Product dissatisfaction,2025-03-13,2024-04-13 00:00:00,0.14084507042253525,True,0.5946396333842522
9947-OTFQU,Male,0.7540983606557378,No,Yes,No,No,0.0,United States,California,Covina,0.2798829077898846,0.16388135227255674,0.6326017060344743,0.3211239242358037,Q3,No,0.0,Offer D,Yes,0.5823164632926585,No,Yes,Fiber Optic,0.34117647058823525,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5587064676616916,0.0,Churned,Yes,0.8901098901098901,0.581054036024016,Competitor,Competitor had better devices,2025-03-13,2023-12-13 00:00:00,0.19718309859154934,False,0.5732537147618387
9514-JDSKI,Male,0.9508196721311476,No,Yes,Yes,No,0.0,United States,California,El Monte,0.28150918848593276,0.16145181011150087,0.6219290731506288,0.5951042042669605,Q3,Yes,0.09090909090909091,Offer E,No,0.0,No,Yes,DSL,0.14117647058823524,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.21840796019900502,0.24999999999999994,Churned,Yes,0.6593406593406592,0.8505670446964643,Dissatisfaction,Limited range of services,2025-03-13,2025-02-13 00:00:00,0.0,False,0.13366199139008472
7273-TEFQD,Male,0.7868852459016393,No,Yes,No,No,0.0,United States,California,La Puente,0.2837859814604001,0.1576767865873712,0.6242289264123135,0.2924843741094667,Q3,No,0.0,Offer E,No,0.0,No,Yes,DSL,0.3294117647058823,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.22786069651741295,0.24999999999999994,Churned,Yes,0.9999999999999999,0.06915721592172552,Price,Long distance charges,2025-03-13,2024-12-13 00:00:00,0.02816901408450706,False,0.1402582974586863
3606-TWKGI,Male,0.8032786885245902,No,Yes,No,No,0.0,United States,California,Rowland Heights,0.28411123759960977,0.15106100709747836,0.6335285524388408,0.4400991697855121,Q3,No,0.0,Offer D,Yes,0.6537307461492299,Yes,Yes,Cable,0.1294117647058823,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,0.882089552238806,0.0,Churned,Yes,0.868131868131868,0.10918390037802972,Competitor,Competitor had better devices,2025-03-13,2024-02-13 00:00:00,0.1690140845070423,True,0.8237050409665325
4385-GZQXV,Female,0.8032786885245902,No,Yes,No,No,0.0,United States,California,Ontario,0.2867132867132868,0.16140875385738854,0.6623903852521313,0.46985010543913974,Q3,No,0.0,Offer D,Yes,0.18863772754550912,No,Yes,Fiber Optic,0.10588235294117643,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.7582089552238807,0.0,Churned,Yes,0.8351648351648351,0.4018234378474538,Competitor,Competitor had better devices,2025-03-13,2023-11-13 00:00:00,0.21126760563380284,True,0.5758228023885571
3488-PGMQJ,Male,0.7704918032786886,No,Yes,No,No,0.0,United States,California,Alpine,0.30899333224914627,0.028848328125653244,0.7516114949530952,0.15649638087277012,Q3,No,0.0,,Yes,0.035607121424284904,No,Yes,Fiber Optic,0.08235294117647055,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5597014925373134,0.24999999999999994,Churned,Yes,0.8241758241758241,0.520791638870358,Dissatisfaction,Poor expertise of online support,2025-03-13,2024-07-13 00:00:00,0.09859154929577468,False,0.38418275239550065
7534-BFESC,Male,0.819672131147541,No,Yes,No,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,No,0.0,Offer C,Yes,0.6175235047009402,Yes,Yes,Fiber Optic,0.17647058823529407,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5756218905472636,0.24999999999999994,Churned,Yes,0.945054945054945,0.0033355570380252386,Competitor,Competitor made better offer,2025-03-13,2023-03-13 00:00:00,0.323943661971831,False,0.5972781558116927
8098-LLAZX,Female,0.9016393442622952,No,Yes,No,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,No,0.0,Offer E,Yes,0.6323264652930586,Yes,Yes,Fiber Optic,0.023529411764705827,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.7681592039800995,0.4999999999999999,Churned,Yes,0.8791208791208791,0.37224816544362904,Competitor,Competitor made better offer,2025-03-13,2024-11-13 00:00:00,0.04225352112676062,True,0.7367726704624358
0265-EDXBD,Male,0.9344262295081969,No,Yes,Yes,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,Yes,0.18181818181818182,Offer C,Yes,0.946989397879576,Yes,Yes,Fiber Optic,0.11764705882352937,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5636815920398011,0.24999999999999994,Churned,Yes,0.7032967032967032,0.46742272626195236,Attitude,Attitude of support person,2025-03-13,2022-07-13 00:00:00,0.43661971830985913,False,0.7033050965143731
2840-XANRC,Male,0.9508196721311476,No,Yes,Yes,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,Yes,0.09090909090909091,Offer C,Yes,0.32206441288257653,No,Yes,Cable,0.14117647058823524,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.745273631840796,0.24999999999999994,Churned,Yes,0.7472527472527473,0.046475428063153135,Competitor,Competitor made better offer,2025-03-13,2023-03-13 00:00:00,0.323943661971831,True,0.6131092903763367
5020-ZSTTY,Female,0.8360655737704918,No,Yes,No,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,No,0.0,Offer B,Yes,0.24164832966593316,Yes,Yes,DSL,0.05882352941176469,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,0.6388059701492538,0.0,Churned,Yes,0.857142857142857,0.4772070269068267,Competitor,Competitor made better offer,2025-03-13,2020-09-13 00:00:00,0.7464788732394365,True,0.5109012637133732
5804-LEPIM,Female,0.9016393442622952,No,Yes,No,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,No,0.0,Offer E,Yes,0.2634526905381076,No,Yes,Fiber Optic,0.11764705882352937,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5184079601990049,0.4999999999999999,Churned,Yes,0.7472527472527473,0.14854347342672886,Other,Don't know,2025-03-13,2025-01-13 00:00:00,0.014084507042253558,False,0.43445354811831693
0623-IIHUG,Female,0.9508196721311476,No,Yes,No,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,No,0.0,,No,0.0,No,Yes,Cable,0.0941176470588235,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.23532338308457712,0.0,Churned,Yes,0.934065934065934,0.6170780520346897,Competitor,Competitor made better offer,2025-03-13,2023-06-13 00:00:00,0.28169014084507044,False,0.14546590751284538
9057-MSWCO,Male,0.8524590163934427,No,Yes,Yes,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,No,0.0,,No,0.0,No,Yes,Cable,0.1529411764705882,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,0.12437810945273631,0.0,Churned,Yes,0.945054945054945,0.2054703135423615,Competitor,Competitor made better offer,2025-03-13,2022-12-13 00:00:00,0.36619718309859156,False,0.06804610470767952
4895-TMWIR,Male,0.9836065573770494,No,Yes,Yes,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,Yes,0.09090909090909091,,Yes,0.5909181836367273,No,No,,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,0.01691542288557224,0.0,Churned,Yes,0.8241758241758241,0.8639092728485657,Competitor,Competitor made better offer,2025-03-13,2024-04-13 00:00:00,0.14084507042253525,False,0.19816692126093594
0533-BNWKF,Female,0.7704918032786886,No,Yes,Yes,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,Yes,0.18181818181818182,Offer B,Yes,0.8565713142628526,Yes,Yes,Fiber Optic,0.3176470588235294,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.6686567164179105,0.0,Churned,Yes,0.945054945054945,0.7780742717367133,Competitor,Competitor made better offer,2025-03-13,2020-08-13 00:00:00,0.7605633802816901,False,0.7451742813498128
0334-GDDSO,Male,0.9508196721311476,No,Yes,No,No,0.0,United States,California,San Diego,0.3449341356318101,0.03204257062209087,0.7015500168126325,0.3314303626726447,Q3,No,0.0,Offer E,Yes,0.1844368873774755,Yes,Yes,Fiber Optic,0.16470588235294115,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6278606965174128,0.0,Churned,Yes,0.7472527472527473,0.1812319323993773,Competitor,Competitor made better offer,2025-03-13,2024-12-13 00:00:00,0.02816901408450706,False,0.48340508262741283
5564-NEMQO,Female,1.0,No,Yes,No,No,0.0,United States,California,Thermal,0.3696536022117418,0.10420804186641325,0.8094349778517453,0.16154986036438249,Q3,No,0.0,Offer E,Yes,0.7019403880776156,No,Yes,Fiber Optic,0.19999999999999996,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,0.5676616915422885,0.24999999999999994,Churned,Yes,0.6813186813186812,0.6446519902156993,Dissatisfaction,Network reliability,2025-03-13,2025-02-13 00:00:00,0.0,False,0.6210248576586586
6235-VDHOM,Female,0.9508196721311476,No,Yes,No,No,0.0,United States,California,Riverside,0.40787119856887305,0.15399797518662775,0.677996504120159,0.6078233941903983,Q3,No,0.0,Offer E,No,0.0,No,Yes,DSL,0.30588235294117644,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.10149253731343288,0.24999999999999994,Churned,Yes,0.923076923076923,0.46608850344674224,Dissatisfaction,Limited range of services,2025-03-13,2024-10-13 00:00:00,0.05633802816901412,False,0.0520761005415914
5609-CEBID,Female,0.9508196721311476,No,Yes,No,No,0.0,United States,California,Hemet,0.4135631810050415,0.11574764952719457,0.7350100722453479,0.3728650948952258,Q3,No,0.0,,Yes,0.9747949589917984,Yes,Yes,Fiber Optic,0.14117647058823524,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,0.7547263681592039,0.0,Churned,Yes,0.901098901098901,0.1474316210807204,Competitor,Competitor had better devices,2025-03-13,2023-07-13 00:00:00,0.26760563380281693,False,0.846271351201222
5956-VKDTT,Female,0.8688524590163935,No,Yes,Yes,No,0.0,United States,California,Moreno Valley,0.4156773459099041,0.1504133559862387,0.6970720893397238,0.43888329502061285,Q3,Yes,0.36363636363636365,Offer E,Yes,0.915383076615323,Yes,Yes,Fiber Optic,0.2588235294117647,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5582089552238806,0.0,Churned,Yes,0.846153846153846,0.7271514342895263,Dissatisfaction,Product dissatisfaction,2025-03-13,2024-10-13 00:00:00,0.05633802816901412,False,0.688515483960561
0257-ZESQC,Female,1.0,No,Yes,Yes,No,0.0,United States,California,Perris,0.4179541388843715,0.13527754114556634,0.7023521163586461,0.2502612230940213,Q3,Yes,0.18181818181818182,,Yes,0.1404280856171234,No,Yes,Cable,0.2941176470588235,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.5666666666666667,0.0,Churned,Yes,0.945054945054945,0.5590393595730486,Attitude,Attitude of support person,2025-03-13,2022-12-13 00:00:00,0.36619718309859156,False,0.42542702402444105
2865-TCHJW,Female,0.9016393442622952,No,Yes,No,No,0.0,United States,California,Anaheim,0.45633436331110755,0.13745097832845884,0.6443125770455294,0.3447194938921291,Q3,No,0.0,,Yes,0.9671934386877377,Yes,Yes,Cable,0.28235294117647053,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.7059701492537314,0.0,Churned,Yes,0.7582417582417582,0.8461196353124305,Competitor,Competitor had better devices,2025-03-13,2024-11-13 00:00:00,0.04225352112676062,True,0.8096097764199417
5192-EBGOV,Female,0.8032786885245902,No,Yes,No,No,0.0,United States,California,Brea,0.45893641242478456,0.14546794653242492,0.6437671928820892,0.013270133176282867,Q3,No,0.0,,Yes,0.916383276655331,Yes,Yes,Fiber Optic,0.24705882352941172,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.6711442786069652,0.0,Churned,Yes,0.6703296703296703,0.6397598398932621,Competitor,Competitor had better devices,2025-03-13,2025-02-13 00:00:00,0.0,True,0.76767115678378
3419-SNJJD,Female,0.9672131147540983,No,Yes,Yes,No,0.0,United States,California,Yorba Linda,0.46934460887949264,0.1412080351687738,0.6498683134175292,0.19835856906738605,Q3,Yes,0.2727272727272727,Offer B,Yes,0.367873574714943,Yes,Yes,Fiber Optic,0.3294117647058823,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,0.8656716417910447,0.0,Churned,Yes,0.945054945054945,0.48765843895930616,Attitude,Attitude of support person,2025-03-13,2019-10-13 00:00:00,0.9014084507042253,True,0.7130259686154702
4554-YGZIH,Male,0.918032786885246,No,Yes,Yes,No,0.0,United States,California,Summerland,0.4986176614083591,0.19828946538909706,0.4649567674478168,0.00536694720443795,Q3,Yes,0.2727272727272727,Offer B,Yes,0.45849169833966796,Yes,Yes,Fiber Optic,0.16470588235294115,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,0.7144278606965173,0.24999999999999994,Churned,Yes,0.9999999999999999,0.6795641538803646,Competitor,Competitor made better offer,2025-03-13,2021-02-13 00:00:00,0.676056338028169,False,0.638939036244966
5099-BAILX,Male,0.9508196721311476,No,Yes,Yes,No,0.0,United States,California,Santa Barbara,0.5041470157749228,0.19809863581840256,0.45420954365897676,0.3012709690901837,Q3,Yes,0.09090909090909091,Offer B,Yes,0.29045809161832364,Yes,Yes,Fiber Optic,0.05882352941176469,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.9203980099502487,0.24999999999999994,Churned,Yes,0.6593406593406592,0.1612185901712252,Competitor,Competitor made better offer,2025-03-13,2021-08-13 00:00:00,0.5915492957746479,True,0.724343841133176
4913-EHYUI,Male,1.0,No,Yes,Yes,No,0.0,United States,California,Alpaugh,0.5204098227354041,0.3522956265795928,0.47510657150819324,0.009907479529608465,Q3,No,0.0,Offer B,Yes,0.9761952390478095,Yes,Yes,Fiber Optic,0.14117647058823524,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,0.8587064676616916,0.0,Churned,Yes,0.945054945054945,0.9484100511452078,Competitor,Competitor offered higher download speeds,2025-03-13,2020-07-13 00:00:00,0.7746478873239435,True,0.9193167615608943
1626-ERCMM,Male,0.918032786885246,No,Yes,Yes,No,0.0,United States,California,Camp Nelson,0.5215482192226378,0.37226437305469423,0.5648154898995118,0.0017098238881395333,Q3,Yes,0.6363636363636364,,Yes,0.10622124424884971,Yes,Yes,Fiber Optic,0.11764705882352937,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.7592039800995025,0.0,Churned,Yes,0.868131868131868,0.8007560595952856,Competitor,Competitor had better devices,2025-03-13,2023-07-13 00:00:00,0.26760563380281693,True,0.5479100124982641
5644-PDMZC,Female,0.819672131147541,No,Yes,No,No,0.0,United States,California,Delano,0.5226866157098715,0.3419427768562323,0.5037045661999728,0.35401903603928797,Q3,No,0.0,,Yes,0.9495899179835967,Yes,Yes,Fiber Optic,0.22352941176470584,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.708955223880597,0.24999999999999994,Churned,Yes,0.8241758241758241,0.013786969090504697,Attitude,Attitude of support person,2025-03-13,2025-01-13 00:00:00,0.014084507042253558,False,0.8055825579780586
4160-AMJTL,Female,0.9016393442622952,No,Yes,No,No,0.0,United States,California,Fellows,0.5241502683363148,0.2827789123012142,0.46804724473167075,0.005841898284476704,Q3,No,0.0,,Yes,0.5591118223644729,No,No,,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,0.013930348258706482,0.24999999999999994,Churned,Yes,0.857142857142857,0.7625083388925951,Attitude,Attitude of support person,2025-03-13,2024-07-13 00:00:00,0.09859154929577468,False,0.18504374392445488
0823-HSCDJ,Male,0.9344262295081969,No,Yes,No,No,0.0,United States,California,Temecula,0.42136932834607255,0.10114785847228563,0.719386641164624,0.43847483709177953,Q3,No,0.0,,No,0.0,No,Yes,DSL,0.2117647058823529,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,0.3074626865671642,0.24999999999999994,Churned,Yes,0.934065934065934,0.7991994663108739,Competitor,Competitor made better offer,2025-03-13,2020-11-13 00:00:00,0.7183098591549295,False,0.1958061380363838
0067-DKWBL,Male,0.819672131147541,No,Yes,No,No,0.0,United States,California,San Diego,0.3460725321190438,0.04308134368256872,0.7089553899892478,0.44847730683739573,Q3,No,0.0,,Yes,0.8799759951990398,No,Yes,DSL,0.3176470588235294,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.3084577114427861,0.24999999999999994,Churned,Yes,0.9890109890109889,0.3273293306648877,Competitor,Competitor made better offer,2025-03-13,2025-01-13 00:00:00,0.014084507042253558,False,0.5019441744202195
3214-IYUUQ,Female,0.0,Yes,No,Yes,No,0.0,United States,California,Pine Grove,0.9211253862416653,0.6213321519972945,0.36208225754419304,0.041254250812166354,Q3,No,0.0,,Yes,0.20424084816963395,No,Yes,Fiber Optic,0.8117647058823528,Yes,Yes,No,Yes,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,0.7507462686567165,0.4999999999999999,Stayed,No,0.4725274725274725,0.5107849677562819,,,2025-03-13,2020-02-13 00:00:00,0.8450704225352113,False,0.5760311067907236
5244-IRFIH,Male,0.8688524590163935,No,Yes,Yes,No,0.0,United States,California,San Diego,0.3460725321190438,0.04308134368256872,0.7089553899892478,0.44847730683739573,Q3,Yes,0.09090909090909091,,Yes,0.5557111422284458,Yes,Yes,Fiber Optic,0.0941176470588235,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.7587064676616915,0.4999999999999999,Churned,Yes,0.945054945054945,0.5181231932399377,Other,Poor expertise of online support,2025-03-13,2022-06-13 00:00:00,0.4507042253521127,True,0.7035828357172615
2684-EIWEO,Female,0.819672131147541,No,Yes,No,No,0.0,United States,California,San Diego,0.3460725321190438,0.04308134368256872,0.7089553899892478,0.44847730683739573,Q3,No,0.0,,Yes,0.9177835567113424,Yes,Yes,Fiber Optic,0.22352941176470584,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,0.7308457711442786,0.0,Churned,Yes,0.934065934065934,0.10651545474760948,Competitor,Competitor made better offer,2025-03-13,2022-09-13 00:00:00,0.4084507042253521,False,0.809818080822108
6683-VLCTZ,Male,0.8852459016393444,No,Yes,No,No,0.0,United States,California,San Diego,0.3460725321190438,0.04308134368256872,0.7089553899892478,0.44847730683739573,Q3,No,0.0,,Yes,0.8889777955591118,Yes,Yes,Fiber Optic,0.1529411764705882,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,0.7990049751243781,0.4999999999999999,Churned,Yes,0.956043956043956,0.7651767845230153,Competitor,Competitor made better offer,2025-03-13,2023-07-13 00:00:00,0.26760563380281693,True,0.847382308012776
0691-IFBQW,Female,0.7540983606557378,No,Yes,No,No,0.0,United States,California,Biola,0.5862741909253537,0.4510864474965126,0.4235913621357778,0.0075612211942170104,Q3,No,0.0,,Yes,0.04740948189637928,Yes,Yes,Fiber Optic,0.2352941176470588,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.9129353233830846,0.0,Churned,Yes,0.8351648351648351,0.08894818768067592,Competitor,Competitor made better offer,2025-03-13,2021-05-13 00:00:00,0.6338028169014084,True,0.6347729482016387
