,churnreason,event_timestamp,customer_ids,gender,age,satisfactionscore,monthlycharge,avgmonthlygbdownload,churnlabel,avgmonthlylongdistancecharges,customerid,customer_tenure_months,customers_all_type_services,total_spent_bycustomer_yearly
16,Attitude of service provider,,381,Male,0.8852459016393444,0.2499999999999999,0.6656716417910449,0.3529411764705882,Yes,0.5883176635327065,4369-HTUIF,0.0704225352112676,True,0.6499791695597834
17,Attitude of support person,,382,Male,0.9836065573770494,0.0,0.8641791044776119,0.0941176470588235,Yes,0.893378675735147,5287-QWLKY,0.9859154929577464,True,0.8943896681016525
18,Competitor had better devices,,383,Female,0.9836065573770494,0.0,0.7218905472636816,0.1999999999999999,Yes,0.0954190838167634,1891-UAWWU,0.2676056338028169,True,0.5181224829884739
19,Competitor made better offer,,384,Female,0.8852459016393444,0.0,0.8562189054726368,0.3176470588235294,Yes,0.2038407681536307,3096-JRDSO,0.3661971830985915,True,0.6494931259547285
20,Poor expertise of online support,,385,Female,0.9508196721311476,0.2499999999999999,0.5164179104477613,0.2235294117647058,Yes,0.7573514702940588,2398-YPMUR,0.1690140845070423,False,0.6044993750867936
21,Attitude of service provider,,386,Female,0.8032786885245902,0.0,0.7791044776119402,0.2235294117647058,Yes,0.0396079215843168,1265-XTECC,0.943661971830986,False,0.538675184002222
22,Attitude of service provider,,387,Female,0.8360655737704918,0.4999999999999999,0.5114427860696518,0.0588235294117646,Yes,0.6227245449089818,4871-JTKJF,0.0,False,0.5542980141646995
23,Competitor had better devices,,388,Female,0.8032786885245902,0.0,0.7069651741293532,0.3529411764705882,Yes,0.6047209441888378,1415-YFWLT,0.0,True,0.6844882655186781
24,Attitude of support person,,389,Female,0.9344262295081968,0.0,0.7766169154228856,0.0941176470588235,Yes,0.3822764552910582,3500-RMZLT,0.1971830985915493,False,0.6558811276211638
25,Attitude of service provider,,390,Male,0.8032786885245902,0.4999999999999999,0.6646766169154228,0.0705882352941176,Yes,0.2436487297459491,2642-DTVCO,0.1126760563380282,False,0.529648659908346
26,Competitor had better devices,,391,Male,1.0,0.0,0.517910447761194,0.3176470588235294,Yes,0.7821564312862572,1363-TXLSL,0.0,False,0.6141508123871686
27,Attitude of service provider,,392,Male,0.9836065573770494,0.2499999999999999,0.2686567164179104,0.2352941176470588,Yes,0.0,7136-RVDTZ,0.9718309859154928,False,0.1687265657547562
28,Attitude of service provider,,393,Male,0.9672131147540984,0.2499999999999999,0.5278606965174129,0.2588235294117647,Yes,0.1142228445689138,6927-WTFIV,0.2676056338028169,False,0.3892514928482155
29,Attitude of support person,,394,Male,0.9344262295081968,0.2499999999999999,0.5059701492537313,0.2117647058823529,Yes,0.394878975795159,3398-ZOUAA,0.2816901408450704,False,0.4713928621024857
30,Competitor made better offer,,395,Female,0.7540983606557378,0.0,0.6741293532338308,0.2588235294117647,Yes,0.5765153030606122,4844-JJWUY,0.0,False,0.6517844743785586
31,Competitor offered higher download speeds,,396,Male,1.0,0.4999999999999999,0.4144278606965174,0.176470588235294,Yes,0.0,4785-QRJHC,0.6338028169014084,False,0.2704485488126649
32,Competitor made better offer,,397,Female,0.7540983606557378,0.0,0.6039800995024875,0.0705882352941176,Yes,0.3272654530906181,1965-AKTSX,0.1830985915492958,False,0.5163171781696987
33,Price too high,,398,Female,0.9672131147540984,0.0,0.6661691542288557,0.1411764705882352,Yes,0.3366673334666933,7248-VZQLC,0.647887323943662,False,0.5629773642549647
34,Product dissatisfaction,,399,Male,0.9672131147540984,0.0,0.7935323383084577,0.0470588235294117,Yes,0.5565113022604521,0011-IGKFF,0.1690140845070423,True,0.7281627551728926
35,Attitude of support person,,400,Male,0.8032786885245902,0.4999999999999999,0.8631840796019901,0.2117647058823529,Yes,0.70874174834967,6496-SLWHQ,0.028169014084507,True,0.8296069990279129
36,Network reliability,,401,Female,0.8852459016393444,0.2499999999999999,0.7522388059701492,0.3058823529411764,Yes,0.185637127425485,9912-GVSEQ,0.352112676056338,False,0.5706151923343981
37,,,402,Male,0.2131147540983606,0.4999999999999999,0.0149253731343284,0.0,No,0.5477095419083817,9548-LERKT,0.323943661971831,False,0.1817803082905151
38,Limited range of services,,403,Female,0.918032786885246,0.4999999999999999,0.654228855721393,0.2588235294117647,Yes,0.9211842368473694,5383-MMTWC,0.0985915492957746,False,0.7575336758783504
39,Attitude of support person,,404,Male,0.7704918032786886,0.4999999999999999,0.6,0.2117647058823529,Yes,0.0996199239847969,6877-LGWXO,0.2394366197183098,False,0.434522982919039
40,Poor expertise of online support,,405,Male,0.8852459016393444,0.4999999999999999,0.0691542288557214,0.2235294117647058,Yes,0.0,5167-GBFRE,0.0422535211267606,False,0.0295097903069017
41,Don't know,,406,Female,0.8852459016393444,0.0,0.3656716417910448,0.2235294117647058,Yes,0.343868773754751,1324-NLTJE,0.1971830985915493,False,0.3557839189001527
42,Competitor had better devices,,407,Male,0.8360655737704918,0.0,0.7597014925373133,0.3176470588235294,Yes,0.6463292658531707,5567-WSELE,0.028169014084507,True,0.735731148451604
43,Competitor had better devices,,408,Male,0.9016393442622952,0.0,0.8517412935323383,0.2705882352941176,Yes,0.7873574714942989,6646-VRFOL,0.732394366197183,True,0.8489098736286627
44,Competitor offered more data,,409,Male,0.8360655737704918,0.4999999999999999,0.8661691542288557,0.3411764705882352,Yes,0.9435887177435488,9090-SGQXL,0.943661971830986,True,0.9132064990973476
45,Competitor made better offer,,410,Male,0.8524590163934427,0.2499999999999999,0.7034825870646766,0.2705882352941176,Yes,0.9533906781356272,6595-YGXIT,0.3380281690140845,True,0.8030829051520625
46,Competitor made better offer,,411,Male,0.7704918032786886,0.0,0.9213930348258704,0.1529411764705882,Yes,0.9775955191038208,9835-ZIITK,0.9154929577464788,True,0.963546729620886
47,Product dissatisfaction,,412,Male,0.8032786885245902,0.0,0.181592039800995,0.2941176470588235,Yes,0.0,5649-TJHOV,0.3661971830985915,False,0.1079711151228995
48,Competitor had better devices,,413,Male,0.8852459016393444,0.0,0.7582089552238807,0.2470588235294117,Yes,0.1250250050010001,9253-QXKBE,0.3943661971830985,True,0.5537425357589225
49,Don't know,,414,Female,0.9508196721311476,0.2499999999999999,0.7199004975124377,0.3529411764705882,Yes,0.2604520904180836,8775-LHDJH,0.0,True,0.5740174975697819
50,Competitor had better devices,,415,Male,0.8852459016393444,0.0,0.6825870646766169,0.1294117647058823,Yes,0.0838167633526705,3097-NQYSN,0.0140845070422535,True,0.4866685182613526
51,Competitor offered higher download speeds,,416,Female,0.7540983606557378,0.0,0.8039800995024875,0.0705882352941176,Yes,0.4466893378675735,3565-UNOCC,0.3943661971830985,True,0.6973337036522705
52,Competitor had better devices,,417,Male,0.7540983606557378,0.0,0.772636815920398,0.0470588235294117,Yes,0.6555311062212443,9190-MFJLN,0.2535211267605634,True,0.7479516733786976
53,Competitor offered higher download speeds,,418,Female,0.9672131147540984,0.2499999999999999,0.764179104477612,0.1294117647058823,Yes,0.2844568913782757,1095-JUDTC,0.647887323943662,True,0.6132481599777809
54,Competitor offered higher download speeds,,419,Male,0.819672131147541,0.0,0.8552238805970149,0.2705882352941176,Yes,0.7521504300860172,5385-SUIRI,0.7183098591549295,True,0.8391195667268436
55,Extra data charges,,420,Female,0.7868852459016393,0.2499999999999999,0.7651741293532339,0.2588235294117647,Yes,0.0724144828965793,6328-ZPBGN,0.1408450704225352,True,0.540341619219553
56,Network reliability,,421,Male,0.9016393442622952,0.0,0.7094527363184079,0.0705882352941176,Yes,0.7825565113022603,2856-NNASM,0.5915492957746479,True,0.7479516733786975
57,Attitude of support person,,422,Male,0.9508196721311476,0.0,0.664179104477612,0.3411764705882352,Yes,0.735747149429886,6769-DYBQN,0.6338028169014084,False,0.7001110956811556
58,Attitude of support person,,423,Female,0.9836065573770494,0.4999999999999999,0.7960199004975124,0.3411764705882352,Yes,0.9471894378875776,2446-BEGGB,0.0704225352112676,True,0.8655047910012499
59,Attitude of service provider,,424,Female,0.8032786885245902,0.0,0.0741293532338309,0.1058823529411764,Yes,0.0,1496-GGSUK,0.0,False,0.0329815303430078
60,Attitude of support person,,425,Female,0.9344262295081968,0.2499999999999999,0.5786069651741295,0.0705882352941176,Yes,0.8233646729345868,3296-SILRA,0.0,False,0.67080960977642
61,,,426,Female,0.4098360655737705,0.9999999999999998,0.0223880597014926,0.0,No,0.2166433286657331,3662-FXJFO,0.7464788732394365,False,0.0720733231495626
62,Moved,,427,Male,1.0,0.0,0.2169154228855721,0.2117647058823529,Yes,0.0,5180-UCIIQ,0.295774647887324,False,0.1326204693792528
63,Competitor offered more data,,428,Female,0.8688524590163935,0.0,0.5447761194029851,0.0588235294117646,Yes,0.4110822164432887,1977-STDKI,0.0,False,0.5040966532426052
64,Competitor made better offer,,429,Male,0.9672131147540984,0.2499999999999999,0.6527363184079601,0.0235294117647058,Yes,0.7707541508301661,5813-UECBU,0.4507042253521127,False,0.7042771837244828
65,Competitor had better devices,,430,Female,0.7868852459016393,0.0,0.5213930348258707,0.2941176470588235,Yes,0.2504500900180035,4342-HENTK,0.0140845070422535,False,0.4320233300930426
66,Price too high,,431,Female,0.9016393442622952,0.0,0.763681592039801,0.3058823529411764,Yes,0.9527905581116224,1597-LHYNC,0.352112676056338,False,0.8448826551867796
67,Long distance charges,,432,Female,0.8032786885245902,0.4999999999999999,0.8731343283582089,0.1999999999999999,Yes,0.6879375875175036,8651-ENBZX,0.8309859154929576,True,0.8293292598250244
68,Product dissatisfaction,,433,Female,0.7704918032786886,0.0,0.564179104477612,0.3529411764705882,Yes,0.3156631326265253,9286-DOJGF,0.5211267605633803,False,0.4845160394389669
69,Service dissatisfaction,,434,Male,0.8524590163934427,0.4999999999999999,0.3084577114427861,0.2235294117647058,Yes,0.1676335267053411,9661-MHUMO,0.0,False,0.2546868490487433
70,Don't know,,435,Male,0.7540983606557378,0.0,0.8328358208955224,0.0352941176470587,Yes,0.6933386677335467,8884-ADFVN,0.0845070422535211,True,0.8030829051520625
71,Don't know,,436,Male,0.7540983606557378,0.0,0.7537313432835822,0.2588235294117647,Yes,0.419883976795359,2720-WGKHP,0.0140845070422535,True,0.6529648659908346
72,Competitor offered more data,,437,Female,0.819672131147541,0.0,0.5895522388059702,0.1058823529411764,Yes,0.3574714942988598,9776-CLUJA,0.704225352112676,False,0.5167337869740315
73,Price too high,,438,Male,0.8032786885245902,0.2499999999999999,0.5587064676616916,0.1411764705882352,Yes,0.2216443288657731,3551-HUAZH,0.0,False,0.4480627690598528
74,Attitude of support person,,439,Male,0.8032786885245902,0.0,0.8139303482587065,0.2235294117647058,Yes,0.1794358871774355,8634-MPHTR,0.647887323943662,True,0.6115122899597278
75,Don't know,,440,Male,0.9344262295081968,0.0,0.8318407960199004,0.0352941176470587,Yes,0.0570114022804561,2474-BRUCM,0.5492957746478873,True,0.5815164560477711
76,Competitor had better devices,,441,Male,0.9016393442622952,0.0,0.0676616915422885,0.2117647058823529,Yes,0.0,0616-ATFGB,0.0,False,0.0284682682960699
77,Competitor made better offer,,442,Male,0.9836065573770494,0.2499999999999999,0.56318407960199,0.2117647058823529,Yes,0.908381676335267,7235-NXZCP,0.0140845070422535,False,0.6895570059713929
78,Network reliability,,443,Female,0.819672131147541,0.0,0.8606965174129353,0.1411764705882352,Yes,0.3244648929785957,6661-HBGWL,0.5774647887323944,True,0.6944868768226635
79,Extra data charges,,444,Female,0.9016393442622952,0.4999999999999999,0.6119402985074627,0.2705882352941176,Yes,0.7927585517103422,9317-WZPGV,0.0140845070422535,False,0.6834467435078462
80,Service dissatisfaction,,445,Female,0.8524590163934427,0.0,0.8154228855721393,0.2235294117647058,Yes,0.9403880776155232,3621-CEOVK,0.1830985915492958,True,0.8766837939175116
81,Attitude of service provider,,446,Male,0.819672131147541,0.4999999999999999,0.9218905472636816,0.2941176470588235,Yes,0.1980396079215843,7632-MNYOY,0.9154929577464788,True,0.6933064852103876
82,Competitor made better offer,,447,Male,0.9016393442622952,0.4999999999999999,0.5791044776119403,0.1529411764705882,Yes,0.0768153630726145,9248-OJYKK,0.0,False,0.4120261074850715
83,Competitor made better offer,,448,Female,0.9836065573770494,0.2499999999999999,0.726865671641791,0.2117647058823529,Yes,0.6803360672134426,3398-FSHON,0.1549295774647887,True,0.7246215803360645
84,Competitor made better offer,,449,Male,0.819672131147541,0.4999999999999999,0.7711442786069651,0.0705882352941176,Yes,0.9581916383276656,3319-DWOEP,0.0704225352112676,True,0.8519650048604362
85,Competitor offered more data,,450,Male,1.0,0.4999999999999999,0.6288557213930348,0.0588235294117646,Yes,0.8583716743348668,0818-OCPZO,0.3661971830985915,False,0.7180252742674629
86,Competitor made better offer,,451,Male,0.7540983606557378,0.2499999999999999,0.7243781094527363,0.0941176470588235,Yes,0.5265053010602121,1389-CXMLU,0.028169014084507,True,0.6694903485626997
87,Price too high,,452,Female,0.9672131147540984,0.4999999999999999,0.6064676616915423,0.2117647058823529,Yes,0.3546709341868373,5561-NWEVX,0.0140845070422535,False,0.5275656158866825
88,Service dissatisfaction,,453,Female,0.918032786885246,0.4999999999999999,0.5577114427860697,0.1176470588235293,Yes,0.7015403080616124,2272-QAGFO,0.1830985915492958,False,0.6139425079850022
89,Network reliability,,454,Male,0.8852459016393444,0.0,0.8194029850746267,0.0352941176470587,Yes,0.8421684336867374,3768-NLUBH,0.7887323943661971,True,0.8453686987918345
90,Lack of affordable download/upload speed,,455,Female,1.0,0.0,0.5169154228855721,0.2823529411764705,Yes,0.5825165033006602,7359-SSBJK,0.8873239436619718,True,0.5441605332592697
91,Long distance charges,,456,Female,0.9016393442622952,0.2499999999999999,0.5223880597014925,0.2470588235294117,Yes,0.1972394478895779,0685-MLYYM,0.0140845070422535,False,0.4142480211081794
92,Price too high,,457,Female,0.7540983606557378,0.0,0.6064676616915423,0.0470588235294117,Yes,0.897379475895179,7957-RYHQD,0.5492957746478873,False,0.7159422302457993
93,Network reliability,,458,Female,0.8524590163934427,0.2499999999999999,0.664179104477612,0.0941176470588235,Yes,0.8501700340068015,6230-BSUXY,0.0,False,0.7398278016942093
94,Competitor had better devices,,459,Male,0.9016393442622952,0.0,0.7388059701492538,0.0470588235294117,Yes,0.9875975195039008,3990-QYKBE,0.5070422535211268,True,0.8396056103318985
95,Competitor offered more data,,460,Male,0.9344262295081968,0.2499999999999999,0.564179104477612,0.3176470588235294,Yes,0.5623124624924984,9274-CNFMO,0.0422535211267606,False,0.5701291487293432
96,Price too high,,461,Male,0.8852459016393444,0.2499999999999999,0.8014925373134328,0.2470588235294117,Yes,0.178635727145429,3005-NFMTA,0.7605633802816901,True,0.602555200666574
97,Service dissatisfaction,,462,Male,0.8524590163934427,0.0,0.617412935323383,0.2941176470588235,Yes,0.0416083216643328,5389-FFVKB,0.4366197183098591,False,0.426537980835995
98,Attitude of support person,,463,Female,0.8688524590163935,0.2499999999999999,0.618905472636816,0.2823529411764705,Yes,0.911982396479296,8444-WRIDW,0.9154929577464788,False,0.7296903207887795
99,Limited range of services,,464,Male,0.9344262295081968,0.2499999999999999,0.6562189054726368,0.2941176470588235,Yes,0.8089617923584717,5868-YWPDW,0.0704225352112676,False,0.7199694486876824
100,Don't know,,465,Female,0.819672131147541,0.4999999999999999,0.7024875621890546,0.0470588235294117,Yes,0.257251450290058,1273-MTETI,0.0422535211267606,False,0.5607554506318567
101,Attitude of support person,,466,Female,1.0,0.4999999999999999,0.0701492537313432,0.3529411764705882,Yes,0.0,5480-HPRRX,0.028169014084507,False,0.030204138314123
102,Attitude of support person,,467,Female,0.9672131147540984,0.4999999999999999,0.826865671641791,0.3176470588235294,Yes,0.8797759551910381,7234-FECYN,0.0985915492957746,True,0.8636300513817525
103,Attitude of service provider,,468,Male,0.8524590163934427,0.2499999999999999,0.8721393034825871,0.0235294117647058,Yes,0.8261652330466094,1400-MMYXY,0.028169014084507,True,0.8766143591167894
104,Competitor had better devices,,469,Male,0.8852459016393444,0.0,0.8432835820895522,0.3058823529411764,Yes,0.3486697339467893,7142-HVGBG,0.5915492957746479,True,0.690737397583669
105,Attitude of support person,,470,Female,0.9836065573770494,0.2499999999999999,0.6343283582089552,0.2941176470588235,Yes,0.0890178035607121,1564-NTYXF,0.1690140845070423,False,0.4547979447298987
106,Attitude of service provider,,471,Female,0.8688524590163935,0.0,0.8258706467661692,0.1529411764705882,Yes,0.9165833166633326,0886-QGENL,0.3661971830985915,True,0.8757117067074018
107,Competitor had better devices,,472,Male,0.819672131147541,0.0,0.708955223880597,0.0352941176470587,Yes,0.3692738547709542,8739-WWKDU,0.3380281690140845,True,0.604152201083183
108,Competitor had better devices,,473,Female,0.9836065573770494,0.0,0.5587064676616916,0.2705882352941176,Yes,0.1018203640728145,8685-WHQPW,0.295774647887324,False,0.4064713234273018
109,,,474,Male,0.2950819672131147,0.4999999999999999,0.8024875621890548,0.3058823529411764,No,0.9267853570714144,3587-PMCOY,0.1267605633802817,True,0.8629357033745315
110,Attitude of support person,,475,Female,0.8032786885245902,0.2499999999999999,0.8109452736318408,0.176470588235294,Yes,0.505501100220044,7240-FQLHE,0.2394366197183098,True,0.722607971115123
111,Attitude of service provider,,476,Female,0.9508196721311476,0.4999999999999999,0.9323383084577116,0.3294117647058823,Yes,0.3892778555711143,6664-FPDAC,0.7746478873239435,True,0.7669768087765589
112,Competitor had better devices,,477,Male,0.8032786885245902,0.0,0.2064676616915423,0.2823529411764705,Yes,0.0,0786-VSSUD,0.2112676056338028,False,0.12532981530343
113,Competitor made better offer,,478,Female,0.9836065573770494,0.4999999999999999,0.6945273631840796,0.0470588235294117,Yes,0.7425485097019404,6583-QGCSI,0.6901408450704225,True,0.7236494931259547
114,Competitor had better devices,,479,Female,0.8032786885245902,0.0,0.5651741293532337,0.3529411764705882,Yes,0.4764952990598119,1980-KXVPM,0.028169014084507,False,0.5410359672267742
115,Don't know,,480,Female,0.8852459016393444,0.2499999999999999,0.5592039800995026,0.1294117647058823,Yes,0.6255251050210042,0723-DRCLG,0.0,False,0.5885988057214275
116,Competitor made better offer,,481,Male,0.9836065573770494,0.0,0.572139303482587,0.2705882352941176,Yes,0.1670334066813362,6894-LFHLY,0.0,False,0.4384807665601999
117,Competitor made better offer,,482,Male,0.918032786885246,0.2499999999999999,0.5587064676616916,0.0941176470588235,Yes,0.2122424484896979,8361-LTMKD,0.0422535211267606,False,0.4447993334259131
118,,,483,Female,0.819672131147541,0.7499999999999999,0.7771144278606965,0.1411764705882352,No,0.9405881176235248,3841-NFECX,0.9859154929577464,False,0.8500208304402168
119,,,484,Male,0.9836065573770494,0.9999999999999998,0.7686567164179104,0.1294117647058823,No,0.6621324264852971,4929-XIHVW,0.0140845070422535,True,0.7474656297736425
120,,,485,Male,0.8524590163934427,0.4999999999999999,0.2686567164179104,0.1411764705882352,No,0.2378475695139028,3413-BMNZE,0.0,False,0.2512845438133593
121,,,486,Female,0.7540983606557378,0.7499999999999999,0.7164179104477613,0.3058823529411764,No,0.2516503300660132,8012-SOUDQ,0.5915492957746479,True,0.5685321483127345
122,,,487,Female,0.7540983606557378,0.7499999999999999,0.5099502487562189,0.0235294117647058,No,0.6121224244848971,6575-SUVOI,0.3380281690140845,True,0.549576447715595
123,,,488,Female,0.8688524590163935,0.4999999999999999,0.56318407960199,0.188235294117647,No,0.9781956391278256,4667-QONEA,0.8309859154929576,False,0.7137897514234135
124,,,489,Male,0.9508196721311476,0.9999999999999998,0.8975124378109454,0.1058823529411764,No,0.4358871774354871,5067-XJQFU,0.9154929577464788,True,0.7588529370920707
125,,,490,Male,0.8524590163934427,0.7499999999999999,0.9288557213930348,0.1176470588235293,No,0.3266653330666133,1891-QRQSA,0.8873239436619718,True,0.7428134981252603
126,,,491,Female,0.8852459016393444,0.7499999999999999,0.917910447761194,0.3411764705882352,No,0.9427885577115424,2673-CXQEU,0.7746478873239435,True,0.9490348562699626
127,,,492,Male,1.0,0.7499999999999999,0.5621890547263682,0.0588235294117646,No,0.7723544708941789,0191-ZHSKZ,0.4084507042253521,True,0.6416469934731288
128,,,493,Male,0.9836065573770494,0.9999999999999998,0.5616915422885572,0.0235294117647058,No,0.5531106221244249,2424-WVHPL,0.0,False,0.5651992778780724
129,,,494,Female,0.7540983606557378,0.9999999999999998,0.2716417910447761,0.1058823529411764,No,0.0,5386-THSLQ,0.9154929577464788,False,0.1708096097764199
130,,,495,Male,0.8852459016393444,0.4999999999999999,0.3800995024875622,0.2352941176470588,No,0.0,2639-UGMAZ,0.9859154929577464,False,0.2464935425635329
131,,,496,Female,0.8524590163934427,0.4999999999999999,0.6945273631840796,0.0705882352941176,No,0.4096819363872774,3146-MSEGF,1.0,True,0.608109984724344
132,,,497,Male,0.7704918032786886,0.4999999999999999,0.0567164179104478,0.0,No,0.6145229045809162,1131-QQZEB,0.9859154929577464,False,0.2341341480349951
133,,,498,Male,0.7704918032786886,0.4999999999999999,0.682089552238806,0.0235294117647058,No,0.8519703940788159,2504-DSHIH,0.3098591549295775,False,0.7529509790306902
134,,,499,Female,0.9508196721311476,0.7499999999999999,0.7577114427860696,0.2941176470588235,No,0.7665533106621325,9058-HRZSV,0.9014084507042252,False,0.7760727676711567
135,,,500,Female,0.8032786885245902,0.7499999999999999,0.363681592039801,0.2352941176470588,No,0.2102420484096819,4522-AKYLR,0.1690140845070423,False,0.3080127760033329
136,,,501,Male,0.7704918032786886,0.4999999999999999,0.5681592039800994,0.3411764705882352,No,0.7281456291258251,0221-WMXNQ,0.0422535211267606,False,0.6304679905568672
137,,,502,Female,0.819672131147541,0.4999999999999999,0.2661691542288557,0.2705882352941176,No,0.0,5046-NUHWD,0.3943661971830985,False,0.1669906957367032
138,,,503,Male,0.9836065573770494,0.9999999999999998,0.7124378109452736,0.1058823529411764,No,0.7333466693338667,7529-ZDFXI,0.7887323943661971,False,0.7329537564227191
139,,,504,Female,0.7868852459016393,0.4999999999999999,0.8631840796019901,0.1411764705882352,No,0.1590318063612722,3197-ARFOY,0.2535211267605634,True,0.6388001666435219
140,,,505,Male,0.8032786885245902,0.4999999999999999,0.8835820895522388,0.0352941176470587,No,0.5513102620524105,4716-HHKQH,0.2676056338028169,True,0.7891959450076378
141,,,506,Male,0.9836065573770494,0.7499999999999999,0.4646766169154229,0.3529411764705882,No,0.8591718343668735,3179-GBRWV,0.2816901408450704,False,0.6037355922788503
142,,,507,Female,0.9508196721311476,0.4999999999999999,0.7074626865671642,0.2235294117647058,No,0.1612322464492898,4847-TAJYI,0.0704225352112676,True,0.5308984863213444
143,,,508,Male,0.8852459016393444,0.9999999999999998,0.8213930348258707,0.0352941176470587,No,0.0424084816963393,6851-WEFYX,0.4788732394366197,True,0.5691570615192335
144,,,509,Male,0.8524590163934427,0.9999999999999998,0.8248756218905473,0.3176470588235294,No,0.5661132226445289,3167-SNQPL,0.5211267605633803,True,0.753367587835023
145,,,510,Female,0.7868852459016393,0.7499999999999999,0.508457711442786,0.1529411764705882,No,0.1912382476495299,2799-ARNLO,0.0563380281690141,False,0.4024441049854187
146,,,511,Female,0.8032786885245902,0.7499999999999999,0.6432835820895523,0.0235294117647058,No,0.583116623324665,5701-YVSVF,0.1408450704225352,True,0.6325510345785309
147,,,512,Female,0.918032786885246,0.9999999999999998,0.1756218905472636,0.6823529411764705,No,0.0,5697-GOMBF,0.380281690140845,False,0.1038050270795722
148,,,513,Female,0.9836065573770494,0.7499999999999999,0.6407960199004976,0.2941176470588235,No,0.0212042408481696,2739-CACDQ,0.2253521126760563,False,0.4357728093320373
149,,,514,Female,0.819672131147541,0.9999999999999998,0.3621890547263681,0.1647058823529411,No,0.3984796959391878,6035-BXTTY,0.4366197183098591,False,0.3723094014720177
150,,,515,Female,0.8688524590163935,0.7499999999999999,0.535820895522388,0.2588235294117647,No,0.1554310862172434,0021-IKXGC,0.0,False,0.4091098458547423
151,,,516,Female,0.819672131147541,0.4999999999999999,0.7835820895522387,0.1294117647058823,No,0.0752150430086017,4654-DLAMQ,0.8873239436619718,False,0.5541591445632552
152,,,517,Female,0.8688524590163935,0.9999999999999998,0.7054726368159204,0.3294117647058823,No,0.3272654530906181,4115-NZRKS,0.0845070422535211,True,0.5871406749062631
153,,,518,Female,0.8360655737704918,0.4999999999999999,0.3567164179104478,0.3411764705882352,No,0.1944388877775555,3351-NGXYI,0.2112676056338028,False,0.2976669906957367
154,,,519,Male,0.9672131147540984,0.4999999999999999,0.46318407960199,0.2823529411764705,No,0.0,8204-YJCLA,1.0,False,0.3044716011665046
155,,,520,Male,0.9508196721311476,0.4999999999999999,0.6621890547263681,0.2470588235294117,No,0.6715343068613723,9774-NRNAU,0.3661971830985915,True,0.676433828634912
156,,,521,Female,0.8852459016393444,0.4999999999999999,0.2592039800995025,0.2588235294117647,No,0.4782956591318263,0224-RLWWD,0.0140845070422535,False,0.3281488682127482
